"Date","Open","High","Low","Close"
"23 Feb 2021","34520.95","34716.90","34311.70","34581.30"
"22 Feb 2021","34938.25","35024.55","34192.15","34340.75"
"19 Feb 2021","35406.95","35478.70","34558.75","34906.90"
"18 Feb 2021","35364.95","35553.80","35248.30","35377.15"
"17 Feb 2021","35179.95","35326.10","35039.10","35205.15"
"16 Feb 2021","35109.10","35243.05","34849.15","35133.20"
"15 Feb 2021","34816.95","35114.55","34790.45","34993.75"
"12 Feb 2021","34653.70","34748.60","34448.35","34626.75"
"11 Feb 2021","34261.15","34585.10","34235.65","34541.10"
"10 Feb 2021","34226.75","34340.65","33928.65","34281.55"
"09 Feb 2021","34303.90","34420.05","34017.80","34147.30"
"05 Feb 2021","34265.90","34367.35","33728.80","33790.85"
"04 Feb 2021","33606.10","34064.70","33477.75","34023.95"
"03 Feb 2021","33502.25","33687.95","33231.75","33486.10"
"02 Feb 2021","33001.10","33373.60","32809.45","33327.10"
"29 Jan 2021","32784.40","32805.55","31638.15","31743.25"
"28 Jan 2021","32367.65","32711.10","32205.85","32513.45"
"27 Jan 2021","33113.90","33113.90","32511.80","32642.55"
"25 Jan 2021","33618.05","33680.30","32636.75","33080.45"
"22 Jan 2021","33683.05","33841.55","33231.05","33339.15"
"21 Jan 2021","34165.50","34242.95","33451.15","33614.55"
"20 Jan 2021","33809.25","33995.10","33755.45","33917.40"
"19 Jan 2021","33369.85","33771.05","33359.20","33725.20"
"18 Jan 2021","33748.80","33763.75","32870.05","33159.65"
"15 Jan 2021","34432.60","34518.35","33606.35","33780.95"
"14 Jan 2021","34264.55","34357.05","34018.00","34318.45"
"13 Jan 2021","34543.05","34644.30","33756.80","34156.00"
"12 Jan 2021","34462.85","34563.45","34299.05","34363.20"
"11 Jan 2021","34566.95","34570.65","34143.60","34458.60"
"08 Jan 2021","34124.10","34364.25","34075.20","34331.05"
"07 Jan 2021","34074.50","34138.75","33826.30","33889.35"
"06 Jan 2021","33951.20","34068.80","33376.25","33755.50"
"05 Jan 2021","33219.80","33895.90","32986.15","33818.75"
"04 Jan 2021","32998.95","33347.85","32805.30","33281.65"
"01 Jan 2021","32608.95","32807.65","32554.35","32765.95"
"31 Dec 2020","32514.70","32592.85","32385.30","32508.55"
"30 Dec 2020","32446.10","32508.55","32166.50","32464.40"
"29 Dec 2020","32507.00","32541.90","32153.85","32331.50"
"28 Dec 2020","32261.90","32408.50","32230.75","32351.05"
"24 Dec 2020","32220.50","32322.55","31931.75","32068.55"
"23 Dec 2020","31489.55","31994.95","31342.45","31949.80"
"22 Dec 2020","30903.35","31494.55","30232.60","31417.30"
"21 Dec 2020","32017.00","32098.65","30165.00","30971.50"
"18 Dec 2020","32110.15","32211.55","31791.00","32082.75"
"17 Dec 2020","32211.05","32303.90","31953.50","32031.75"
"16 Dec 2020","32166.10","32243.40","32040.40","32143.85"
"15 Dec 2020","32079.05","32083.35","31759.05","31972.70"
"14 Dec 2020","32066.55","32142.10","31986.15","32043.45"
"11 Dec 2020","31922.40","32066.20","31602.20","31928.80"
"10 Dec 2020","31680.80","31877.45","31423.15","31850.65"
"09 Dec 2020","31893.20","31960.05","31662.85","31722.20"
"08 Dec 2020","31823.20","31941.75","31381.25","31714.40"
"07 Dec 2020","31515.35","31784.40","31448.05","31724.75"
"04 Dec 2020","31434.60","31556.35","31170.85","31439.10"
"03 Dec 2020","31157.95","31346.40","31074.20","31319.40"
"02 Dec 2020","30849.55","31017.90","30671.25","30992.55"
"01 Dec 2020","30656.05","30766.90","30481.35","30734.70"
"27 Nov 2020","30316.45","30591.00","30121.35","30334.40"
"26 Nov 2020","29906.15","30235.65","29809.05","30186.05"
"25 Nov 2020","30518.05","30538.70","29863.65","29916.30"
"24 Nov 2020","30351.95","30476.75","30284.20","30377.15"
"23 Nov 2020","30150.50","30298.20","30130.20","30220.30"
"20 Nov 2020","29638.65","29974.00","29634.60","29952.90"
"19 Nov 2020","29710.50","30008.20","29523.00","29579.80"
"18 Nov 2020","29685.00","29817.35","29520.10","29790.95"
"17 Nov 2020","29608.60","29745.65","29529.65","29689.10"
"14 Nov 2020","29512.10","29541.45","29360.85","29443.15"
"13 Nov 2020","29029.75","29340.45","29002.70","29310.05"
"12 Nov 2020","28921.55","29081.05","28847.20","29050.00"
"11 Nov 2020","28663.15","28905.55","28522.00","28879.80"
"10 Nov 2020","28930.60","28936.45","28342.55","28547.45"
"09 Nov 2020","28596.15","28763.90","28484.45","28746.00"
"06 Nov 2020","28282.30","28398.10","28227.55","28334.85"
"05 Nov 2020","27936.95","28273.55","27935.75","28234.35"
"04 Nov 2020","27674.00","27810.55","27550.75","27788.40"
"03 Nov 2020","27595.65","27775.05","27548.90","27603.55"
"02 Nov 2020","27453.35","27530.45","27344.90","27445.00"
"30 Oct 2020","27423.85","27648.85","27196.50","27348.45"
"29 Oct 2020","27034.35","27380.25","26952.70","27357.60"
"28 Oct 2020","27560.00","27577.00","27197.15","27236.20"
"27 Oct 2020","27117.60","27508.20","26956.85","27462.15"
"26 Oct 2020","27529.20","27534.30","26953.95","27062.40"
"23 Oct 2020","27416.65","27499.60","27349.80","27432.55"
"22 Oct 2020","27345.45","27413.80","27130.35","27351.30"
"21 Oct 2020","27537.95","27632.00","27100.20","27370.70"
"20 Oct 2020","27366.65","27480.90","27294.50","27435.00"
"19 Oct 2020","27298.90","27421.65","27183.35","27379.75"
"16 Oct 2020","27007.45","27177.95","26856.15","27155.70"
"15 Oct 2020","27465","27499.4","26854.7","26922.05"
"14 Oct 2020","27181.70","27426.05","27057.35","27383.45"
"13 Oct 2020","27267.20","27459.75","27147.80","27183.80"
"12 Oct 2020","27486.50","27539.80","27181.20","27297.35"
"09 Oct 2020","27556.30","27610.00","27373.15","27410.30"
"08 Oct 2020","27488.95","27547.40","27299.10","27489.00"
"07 Oct 2020","27457.75","27485.20","27290.10","27354.95"
"06 Oct 2020","27483.70","27543.15","27367.20","27423.30"
"05 Oct 2020","27403.25","27419.40","27206.30","27321.30"
"01 Oct 2020","27246.35","27306.30","27172.70","27250.95"
"30 Sep 2020","26994.50","27121.10","26854.00","27034.25"
"29 Sep 2020","27180.55","27286.55","26801.25","26866.00"
"28 Sep 2020","26660.05","27026.25","26632.45","26990.90"
"25 Sep 2020","25968.60","26438.75","25860.90","26397.70"
"24 Sep 2020","26056.25","26089.95","25636.70","25696.60"
"23 Sep 2020","26538.85","26651.75","26051.50","26290.00"
"22 Sep 2020","26654.00","26672.35","25873.95","26357.50"
"21 Sep 2020","27601.80","27601.80","26544.45","26671.25"
"18 Sep 2020","27624.20","27746.85","27426.35","27552.85"
"17 Sep 2020","27568.50","27689.80","27451.85","27486.25"
"16 Sep 2020","27621.00","27698.85","27548.10","27646.05"
"15 Sep 2020","27361.00","27562.55","27349.65","27515.80"
"14 Sep 2020","27459.20","27508.25","27165.75","27256.00"
